#time	 FWHMX(µm)	 FWHMY(µm)	 FWHMX_Slice(µm)	 FWHMY_Slice(µm)
224741	1079.23	817.01	999.82	339.49
154440	14.92	17.42	0.43	0.47
161030	1105.79	252.95	0.31	0.23
20190816	222620	146.78	128.24	142.19	123.88
20190816	222729	142.15	127.59	137.41	123.82
20190816	223058	143.6	127.72	140.39	125.13
20190816	223307	144.47	128.44	140.74	126.73
20190816	224019	138.5	125.74	135.75	125.34
20190816	224036	144.94	128.08	140.54	125.73
20190816	224110	144.41	128.25	139.99	125.27
20190816	224128	142.95	127.04	135.84	124.71
20190816	224211	145.15	127.34	146.48	124.45
20190816	224848	141.08	127.01	140.83	124.76
20190816	231338	142.47	126.04	138.83	125.79
20190816	231442	141.8	129.08	137.17	125.54
20190816	231536	146.28	129.95	140.79	126.86
20190816	231754	142.53	126.48	139.55	125.11
20190816	234010	149.1	128.98	140.09	123.08
20190816	234022	144.88	129.56	140.32	126.89
20190816	234230	145.44	128.97	141.16	127.02
20190816	234324	142.95	127.23	138.77	125.62
20190816	234433	144.47	128.67	140.41	125.77
20190816	234538	148.52	129.21	141.88	127.06
20190816	234624	143.29	126.8	140.28	126.25
20190816	234654	145.08	129.08	145.94	126.23
20190816	234736	146.77	128.18	141.82	126.22
20190816	234803	144.62	128.87	140.01	125.69
20190816	234842	144.1	128.63	142.15	126.9
20190816	234902	148.0	130.36	142.47	129.22
20190816	234956	143.68	129.28	138.54	127.42
20190816	235048	148.18	129.92	143.25	126.15
20190816	235944	143.43	128.83	140.71	126.75
20190817	000024	141.57	127.59	136.28	122.06
20190817	000047	142.25	128.01	139.62	125.61
20190817	000134	143.96	129.21	141.68	125.17
20190817	000300	145.0	128.77	140.91	126.48
20190817	000504	145.4	129.23	138.96	125.31
20190817	000536	147.01	128.84	141.26	127.16
20190817	000612	144.99	126.98	141.49	126.89
20190817	000736	142.84	127.62	139.28	124.91
20190817	000843	145.16	129.49	141.34	127.41
20190817	001008	146.21	129.22	144.35	127.02
20190817	001110	146.49	128.37	142.25	125.72
20190817	001355	145.12	128.12	139.63	126.98
20190817	001454	142.92	129.54	140.73	125.56
20190817	001552	141.82	129.11	139.24	125.14
20190817	001621	142.73	127.31	137.49	126.21
20190817	001651	144.84	127.2	137.68	125.59
20190817	001741	140.36	128.08	139.59	124.77
20190817	001937	145.82	127.9	140.91	126.63
20190817	002016	145.77	128.84	140.95	127.46
20190817	002042	148.4	129.72	140.95	127.55
20190817	002113	149.36	129.92	141.42	125.11
20190817	002916	145.98	129.08	141.64	127.99
20190817	003709	146.07	128.11	141.23	125.95
20190817	004011	147.66	128.57	143.68	126.63
20190817	004042	147.04	129.39	143.11	127.42
20190817	004127	142.05	127.34	138.33	125.85
20190827	122830	1.41	0.63	316.95	0.4
20190827	154546	1.33	0.58	43606.86	236.67
20190827	154633	0.23	
